NAME,YEAR,Dist,REG,VOTE,QUOTA,COUNTS,PTOTAL,PSIZE,PARTY,QSHARE,PSHARE,TOPS,LAST,CT1,Ct2,Ct3,Ct4,Ct5,Ct6,Ct7,Ct8,Ct9,Ct10,Ct11,Ct12,Ct13,Ct14,Ct15,Ct16,Ct17,Ct18,Ct19,Ct20,Ct21,Ct22,Ct23,Ct24,Ct25,Ct26,Ct27,Ct28,Ct29,Ct30,Ct31,Ct32,Xt33,Ct34,Ct35,Ct36,Ct37,,,
"Gera De Petri, Alfred",1921,1,2458,1857,372,6,515,27.73,11,2.15,1.55,92,0,8,9,92,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Strickland, Gerald",1921,1,2458,1857,372,6,515,27.73,11,136.29,98.45,507,372,507,507,372,372,372,372,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Michel'Angelo",1921,1,2458,1857,372,6,211,11.36,13,16.13,28.44,70,0,60,66,70,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Savona, William",1921,1,2458,1857,372,6,211,11.36,13,40.59,71.56,336,336,151,170,205,313,314,336,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Adami, Giovanni",1921,1,2458,1857,372,6,1131,60.91,14,69.62,22.9,375,372,259,358,361,375,372,372,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Arrigo, Edgardo",1921,1,2458,1857,372,6,1131,60.91,14,43.55,14.32,371,371,162,208,213,225,226,371,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Hyzler, Giuseppe",1921,1,2458,1857,372,6,1131,60.91,14,38.44,12.64,178,0,143,167,172,177,178,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud, Ugo Pasqale",1921,1,2458,1857,372,6,1131,60.91,14,152.42,50.13,567,372,567,372,372,372,372,372,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,1,2458,1857,372,6,0,0,99,0,0,34,34,0,0,0,23,23,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bartolo, Augusto",1921,2,3174,2398,480,9,752,31.36,11,124.38,79.39,597,480,597,597,480,480,480,480,480,480,480,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ciantar, Henry C.",1921,2,3174,2398,480,9,752,31.36,11,7.08,4.52,95,0,34,35,95,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Pace, George",1921,2,3174,2398,480,9,752,31.36,11,5.21,3.32,33,0,25,25,33,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Samut, Achille",1921,2,3174,2398,480,9,752,31.36,11,20,12.77,209,0,96,97,129,201,205,209,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Farrugia, Vincenzo",1921,2,3174,2398,480,9,590,24.6,13,54.79,44.58,402,402,263,271,278,295,346,353,376,389,402,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Galea, Lewis",1921,2,3174,2398,480,9,590,24.6,13,39.38,32.03,399,399,189,198,203,223,297,304,355,378,399,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud, E. Armando",1921,2,3174,2398,480,9,590,24.6,13,28.75,23.39,149,0,138,141,143,149,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Dandria, Enrico",1921,2,3174,2398,480,9,1056,44.04,14,125.21,56.91,601,480,601,480,480,480,480,480,480,480,480,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Preziosi, Luigi",1921,2,3174,2398,480,9,1056,44.04,14,24.58,11.17,186,0,118,173,174,176,186,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Said, Emmanuele",1921,2,3174,2398,480,9,1056,44.04,14,33.13,15.06,514,480,159,183,184,189,194,285,301,514,480,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Alfredo",1921,2,3174,2398,480,9,1056,44.04,14,37.08,16.86,291,0,178,198,199,201,203,271,291,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,2,3174,2398,480,9,0,0,99,0,0,157,157,0,0,0,4,7,16,115,157,157,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Agius, Arcangelo",1921,3,3890,2939,588,7,718,24.43,11,59.01,48.33,383,0,347,349,357,371,383,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Henry, Charles Sydney",1921,3,3890,2939,588,7,718,24.43,11,63.1,51.67,692,588,371,374,382,405,422,692,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Frendo, Enrico",1921,3,3890,2939,588,7,705,23.99,13,50.34,41.99,332,0,296,311,332,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Michel",1921,3,3890,2939,588,7,705,23.99,14,69.56,58.01,661,588,409,422,435,661,588,588,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buttigieg, Filippo Nicolo",1921,3,3890,2939,588,7,1516,51.58,14,52.72,20.45,542,542,310,348,432,452,475,522,542,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Conti, Temistocle",1921,3,3890,2939,588,7,1516,51.58,14,27.89,10.82,188,0,164,188,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Dalli, Antonio",1921,3,3890,2939,588,7,1516,51.58,14,121.26,47.03,713,588,713,588,588,588,588,588,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
